id;fname;author;title
192;Baantjer - De Cock en de Broeders van de haat.txt;A.C. Baantjer;[NL] De Cock 63 (2005) - De Cock en de Broeders van de haat
193;Baantjer - De Cock en de broeders van de zachte dood.txt;A.C. Baantjer;De Cock en de broeders van de zachte dood / druk 11
194;Baantjer - De Cock En De Dartele Weduwe.txt;A.C. Baantjer;[NL] De Cock 65 (2006) - De Cock en de dartele weduwe
195;Baantjer - De Cock en de dode harlekijn.txt;A.C. Baantjer;De Cock en de dode harlekijn
196;Baantjer - De Cock en de dode tempeliers.txt;A.C. Baantjer;De Cock en de dode tempeliers
197;Baantjer - De Cock en de dood in antiek.txt;A.C. Baantjer;De Cock en de dood in antiek
198;Baantjer - De Cock En De Dood In Gebed.txt;A.C. Baantjer;[NL] De Cock 70 (2008) - De Cock en de dood in gebed
199;Baantjer - De Cock En De Dood Van De Helende Meesters.txt;A.C. Baantjer;[NL] De Cock 58 (2002) - De Cock en de dood van de Helende Meesters
200;Baantjer - De Cock en de dood van een clown.txt;A.C. Baantjer;De Cock en de dood van een clown
201;Baantjer - De Cock en de dwaze maagden.txt;A.C. Baantjer;De Cock en de dwaze maagden
202;Baantjer - De Cock En De Gebrandmerkte Doden.txt;A.C. Baantjer;[NL] De Cock 61 (2004) - De Cock en de gebrandmerkte doden
203;Baantjer - De Cock En De Moord In Extase.txt;A.C. Baantjer;De Cock en de moord in extase
204;Baantjer - De Cock en de moord in seance.txt;A.C. Baantjer;De Cock en de moord in seance
205;Baantjer - De Cock En De Moord In Triplo.txt;A.C. Baantjer;De Cock en de moord in triplo
206;Baantjer - De Cock en de moord op Anna Bentveld.txt;A.C. Baantjer;De Cock en de moord op Anna Bentveld
207;Baantjer - De Cock en de naakte juffer.txt;A.C. Baantjer;De Cock en de naakte juffer
208;Baantjer - De Cock en de onsterfelijke dood.txt;A.C. Baantjer;De Cock en de onsterfelijke dood
209;Baantjer - De Cock en de ontgoochelde dode.txt;A.C. Baantjer;De Cock en de ontgoochelde dode
210;Baantjer - De Cock En De Romance In Moord.txt;A.C. Baantjer;De Cock en de romance in moord
211;Baantjer - De Cock En De Sluimerende Dood.txt;A.C. Baantjer;De Cock en de sluimerende dood
212;Baantjer - De Cock En De Smekende Dood.txt;A.C. Baantjer;De Cock en de smekende dood
213;Baantjer - De Cock en de treurende kater.txt;A.C. Baantjer;De Cock en de treurende kater
214;Baantjer - De Cock En De Wortel Van Het Kwaad.txt;A.C. Baantjer;[NL] De Cock 68 (2007) - De Cock en de wortel van het kwaad
215;Baantjer - De Cock En De Wurger Op Zondag.txt;A.C. Baantjer;De Cock en de wurger op zondag
216;Baantjer - De Cock En De Zorgvuldige Moordenaar.txt;A.C. Baantjer;de Cock en de zorgvuldige moordenaar
217;Baantjer - De Cock En Dood Door Hamerslag.txt;A.C. Baantjer;De Cock En Dood Door Hamerslag
218;Baantjer - De Cock en een deal met de duivel.txt;A.C. Baantjer;De Cock en een deal met de duivel
219;Baantjer - De Cock En Een Dodelijk Rendez-Vous.txt;A.C. Baantjer;De Cock en een dodelijk rendez-vous
220;Baantjer - De Cock En Een Dodelijke Dreiging.txt;A.C. Baantjer;de Cock en een dodelijke dreiging
221;Baantjer - De Cock En Een Duivels Komplot.txt;A.C. Baantjer;De Cock en een duivels komplot
222;Baantjer - De Cock En Een Recept Voor Moord.txt;A.C. Baantjer;De Cock En Een Recept Voor Moord
223;Baantjer - De Cock En Een Veld Papavers.txt;A.C. Baantjer;[NL] De Cock 62 (2004) - De Cock en een veld papavers
224;Baantjer - De Cock En Geen Excuses Voor Moord.txt;A.C. Baantjer;[NL] De Cock 60 (2003) - De Cock en geen excuss voor moord
225;Baantjer - De Cock En Het Dodelijk Akkoord.txt;A.C. Baantjer;De Cock en het dodelijk akkoord
226;Baantjer - De Cock En Het Duel In De Nacht.txt;A.C. Baantjer;De Cock en het duel in de nacht
227;Baantjer - De Cock en het lijk aan de kerkmuur.txt;A.C. Baantjer;De Cock en het lijk aan de kerkmuur
228;Baantjer - De Cock en het lijk in de kerstnacht.txt;A.C. Baantjer;De Cock en het lijk in de kerstnacht
229;Baantjer - De Cock en het lijk op drift.txt;A.C. Baantjer;De Cock en het lijk op drift
230;Baantjer - De Cock En Het Masker Van De Dood.txt;A.C. Baantjer;de Cock en het masker van de dood
231;Baantjer - De Cock En Het Roodzijden Nachthemd.txt;A.C. Baantjer;De Cock en het roodzijden nachthemd
232;Baantjer - De Cock En Het Sombere Naakt.txt;A.C. Baantjer;De Cock En Het Sombere Naakt
233;Baantjer - De Cock En Kogels Voor Een Bruid.txt;A.C. Baantjer;De Cock en kogels voor een bruid
234;Baantjer - De Cock en moord a' la carte.txt;A.C. Baantjer;De Cock en moord a' la carte
