filepath,isbn,author:id,author:lastname,categories,language,record_id,subject,title:detail,txt_file
Als er doornen zijn - Virginia Andrews,"9032501690,9032501690,9789032501693",17304,ANDREWS,"Griezel- en spookverhalen, horror,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789032501693,335,Als er doornen zyn,Als er doornen zijn - Virginia Andrews.xml
"Mendes, Bob - (1990) De Vierde Soera","9022318036,9022318036,9789022318034",,,,,,,,"Mendes, Bob - (1990) De Vierde Soera.xml"
"Rowling, J.K. - Harry Potter - 3 - en de Gevangene van Azkaban",,,,,,,,,
"Groult, Benoite - Zout op mijn huid",,,,,,,,,
Havank Terpstra - Havank 40 (1969) Schaduws Bedevaart,,,,,,,,,
"Ohlsson, Kristina - Ongewenst","9789044328127,9044328123,9789044328127",224499,Ohlsson,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789044328127,332,Ongewenst,"Ohlsson, Kristina - Ongewenst.xml"
"Appel, Rene - Als broer en zus",,,,,,,,,
"Rhodan, Perry - 0334 - Het arsenaal der reuzen",,,,,,,,,
"Lippert, G. Norman - James Potter en de hal der oudste' kruis",,,,,,,,,
"Asimov, Isaac - (1982) De Totale Robot (The Complete Robot)",,Asimov,,,,,,,
"Mulisch, Harry - De zaak 40-61","9789023448617,9023448618,9789023448617",34508,Mulisch,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789023448617,301,De zaak 40-61,"Mulisch, Harry - De zaak 40-61.xml"
"Hollander de, Loes - Vluchtgedrag ","9789061124580,9061124581,9789061124580",123551,Hollander,"Literaire thriller,Literaire fictie algemeen",dut,9789061124580,305,Vluchtgedrag,"Hollander de, Loes - Vluchtgedrag .xml"
"Mulisch, Harry - (1988) De Elementen",,,,,,,,,
"Aalberse, Han - De Liefde Van Bob En Daphne",,,,,,,,,
"Beagle, Peter - De laatste eenhoorn",,,,,,,,,
Maigret komt te laat - Georges Simenon,,,,,,,,,
"Heijnes, Hendrik Jacobus - Bij ons in Noord-Holland",,,,,,,,,
"Heuvel, Dick vd & Simon de Waal - Wulffers en de zaak van de vermoorde onschuld","9023991141,9023991141,9789023991144;9789023910398,9023910397,9789023910398",154993,HEUVEL,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789023910398,331,Wulffers en de zaak van de vermoorde onschuld,"Heuvel, Dick vd & Simon de Waal - Wulffers en de zaak van de vermoorde onschuld-1.xml"
"Simenon, Georges - (1942) Maigret en het lijk in de kast (Les caves du Majestic)",,,,,,,,,
"Crais, Robert - De twee minuten regel",,,,,,,,,
"King, Stephen - Gevangen",,,,,,,,,
"MacLean, Alistair - Poolbasis Zebra",,,,,,,,,
"Clancy, Tom - Kardinaal Van Het Kremlin","902297815X,902297815X,9789022978153",33364,Clancy,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789022978153,312,Kardinaal van het Kremlin,"Clancy, Tom - Kardinaal Van Het Kremlin.xml"
Mathias Sandorf _ Een Model-volksplanting - Jules Verne,,,,,,,,,
Het gezelschap van leugenaars _ druk 1 - Karen Maitland,"9789049500733,9049500730,9789049500733",213918,Maitland,"Literaire thriller,Literaire fictie algemeen",dut,9789049500733,305,Het gezelschap van leugenaars,Het gezelschap van leugenaars _ druk 1 - Karen Maitland.xml
"Saunders, Kate - Fataal erfgoed",,,,,,,,,
"Mansell, Jill - (1995) Open Huis (Open house)",,,,,,,,,
"DeStefano, Lauren - [Chemical Garden trilogie 01] Verwelken","9789047519959,9047519957,9789047519959",234593,DeStefano,"Fictie 15+,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789047519959,285,Verwelken,"DeStefano, Lauren - [Chemical Garden trilogie 01] Verwelken.xml"
"Clancy, Tom - Golf Van Ontzetting","9022979989,9022979989,9789022979983",33364,Clancy,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789022979983,312,Golf van ontzetting,"Clancy, Tom - Golf Van Ontzetting.xml"
"Rhodan, Perry - 0168 - De ijsval",,,,,,,,,
"Burroughs, Edgar Rice - Het Meisje uit de Wildernis",,,,,,,,,
"James, Erica - Een dierbare tijd",,,,,,,,,
"Hoorn van, Margreet - Het tweede geweten",,,,,,,,,
